id,customer_id,order_date,total_amount,status,shipping_address,created_at,updated_at
1,69,2026-01-04,3867.50,Delivered,"061 Becky Mews
East Jeffmouth, NM 19923",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
2,22,2025-12-11,2527.51,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
3,50,2025-10-26,2442.76,Delivered,"USCGC Little
FPO AP 38776",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
4,87,2025-09-02,1979.80,Delivered,"1309 Jennifer Station
West Tara, SD 05107",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
5,41,2025-09-23,4187.62,Delivered,"3515 Evans Orchard
Lake Sierraport, WY 47029",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
6,19,2025-12-28,2405.60,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
7,67,2025-07-15,3191.89,Delivered,"094 John Flats Suite 896
West Tracy, GA 56460",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
13,97,2025-05-14,4342.67,Delivered,"07215 Adrienne Port
East Jeffreystad, DC 42142",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
17,7,2025-03-07,1488.10,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
19,36,2025-07-08,2480.40,Delivered,"017 Aguilar Ramp Apt. 104
North Kendra, IN 45088",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
20,56,2025-11-30,3849.53,Delivered,"0046 Darren Isle Apt. 653
Carolinestad, GA 98877",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
21,92,2025-08-04,1189.78,Delivered,"47732 Karen Row Apt. 697
Stewartton, SD 61412",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
22,99,2025-10-04,3481.86,Delivered,"PSC 8217, Box 1932
APO AA 30729",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
23,66,2025-02-06,2308.94,Delivered,"55428 Jones Plains Apt. 787
Justinmouth, ND 60089",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
24,29,2025-02-27,3105.74,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
25,100,2025-09-10,306.61,Delivered,"9149 Kenneth Green
Robertshire, AR 71928",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
26,45,2026-01-05,3925.34,Delivered,"6742 Jessica Summit
Navarrochester, RI 98248",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
27,71,2025-10-15,3083.28,Delivered,"027 Theodore Manors Apt. 518
Stephensonport, CA 09828",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
28,46,2025-04-21,2943.01,Delivered,"69991 Robert Stream
Isabellaborough, NY 27143",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
29,100,2025-08-03,776.65,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
31,76,2025-07-28,765.20,Delivered,"064 Haas Greens
Brittanyville, ME 30203",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
32,70,2025-03-29,719.34,Delivered,"60518 Chapman Spurs Apt. 591
Moorefort, RI 19226",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
33,36,2025-05-16,1740.84,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
34,85,2025-05-16,1459.85,Delivered,"68683 Kirk Centers Suite 812
Frankmouth, NV 78523",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
36,17,2025-12-08,2993.73,Delivered,"09451 Kenneth Rapid
North Jill, DE 70869",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
37,11,2025-08-30,4314.66,Delivered,"616 Crawford Mountains Apt. 819
Barnettfurt, AR 00693",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
38,43,2025-12-15,177.15,Delivered,"28013 Owens Station
North Michaelchester, MO 57334",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
39,56,2025-11-04,580.87,Delivered,"6288 Eric Via
North Davidfurt, TX 17019",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
40,92,2025-04-07,271.81,Delivered,"19547 Bolton Branch
Richardstad, DE 46921",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
41,48,2025-04-18,2312.04,Delivered,"966 Samantha Streets Apt. 589
South Sandrastad, GU 50415",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
42,42,2025-05-07,2414.30,Delivered,"538 Hannah Divide Suite 060
Whiteland, NV 10607",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
43,32,2025-01-28,2548.85,Delivered,"51270 Michelle Highway
East Michael, AK 58119",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
